id,date,channel,customer_type,content,keyword_hint
081,2026/06/06,채널톡,기타,"협력사 담당자와 상의한 결과, CBAM 보고서 작성을 지원해주신 덕분에 이사회 보고를 무사히 마쳤습니다. 감사합니다.",CBAM
082,2026-06-06,채널톡,OEM,"협력사 담당자와 상의한 결과, 글로벌 고객사에서 TCFD 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?",TCFD
083,2026/06/06,채널톡,OEM,다시 문의드립니다. Scope 2 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,Scope2
084,2026-06-06,채널톡,기타,카본링크 사용 중 ESG 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,ESG
085,2026/06/06,이메일,OEM,"실무 담당자로서 말씀드리면, 온실가스 보고서 작성을 지원해주신 덕분에 이사회 보고를 무사히 마쳤습니다. 감사합니다.",온실가스
086,2026-06-06,이메일,기타,저희 팀에서 확인해보니 ESG 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,ESG
087,2026-06-06,이메일,기타,이번 주 IPCC 산정 가이드 문서를 만들어 주시면 좋겠습니다.,IPCC
088,2026-06-06,이메일,기타,"실무 담당자로서 말씀드리면, 이번 업데이트로 ISO 14064 화면이 훨씬 편하게 바뀌어서 좋았습니다.",ISO14064
089,2026-06-06,,기타,"실무 담당자로서 말씀드리면, 글로벌 고객사에서 Scope 2 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?",Scope2
090,2026-06-07,채널톡,1차 협력사,Scope 2 데이터 입력 화면이 너무 불편합니다. 더 간단한 입력 방식을 제공해주시길 요청합니다.,"Scope2,기능개선요청"
091,2026-06-07,이메일,1차 협력사,카본링크 사용 중 담당자분이 SBTi 관련 문의에 빠르게 답변해주셔서 정말 감사합니다.,SBTi
092,2026-06-07,채널톡,기타,"실무 담당자로서 말씀드리면, Scope 2 데이터를 입력했는데 저장이 안 됩니다. 벌써 2번째 같은 문제가 발생하고 있습니다.",Scope2
093,2026-06-07,이메일,1차 협력사,저희 팀에서 확인해보니 외부 컨설팅사에서 산정한 EU ETS 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.,EUETS
094,2026/06/07,채널톡,1차 협력사,이번 주 글로벌 고객사에서 LCA 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,LCA
095,2026/06/07,채널톡,기타,"실무 담당자로서 말씀드리면, 외부 컨설팅사에서 산정한 Scope 3 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.",Scope3
096,2026-06-07,이메일,1차 협력사,최근 GWP 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,GWP
097,2026-06-08,이메일,1차 협력사,이번 주 API 연동이 자꾸 끊깁니다. 녹색채권 데이터가 누락됩니다. 빨리 해결해주세요.,녹색채권
098,2026/06/08,채널톡,2차 협력사,저희 팀에서 확인해보니 카본링크 도입 이후 탄소국경조정 관련 업무 시간이 절반 이상 줄었습니다. 감사합니다.,탄소국경조정
099,2026/06/09,채널톡,기타,저희 팀에서 확인해보니 ISO 14064 분석 리포트 덕분에 어디서 줄일 수 있는지 파악했습니다. 감사합니다.,ISO14064
100,2026-06-09,이메일,기타,저희 팀에서 확인해보니 카본링크 플랫폼에서 온실가스 관련 계산 결과가 계속 오류로 표시됩니다. 빠른 해결이 필요합니다.,온실가스
101,6월 10일,이메일,기타,이번 주 이용 중 CSRD 처리 속도가 너무 느려 불편합니다. 수정해주세요.,CSRD
102,2026-06-10,이메일,OEM,저희 팀에서 확인해보니 ISO 14064 감축 로드맵 수립을 지원해줄 수 있는 컨설팅 서비스가 있으면 좋겠습니다.,ISO14064
103,6월 11일,이메일,기타,다시 문의드립니다. 온보딩 과정에서 SBTi 세팅을 친절하게 안내해주셔서 정말 만족스럽습니다.,SBTi
104,2026-06-12,채널톡,기타,최근 API 연동이 자꾸 끊깁니다. IPCC 데이터가 누락됩니다. 빨리 해결해주세요.,IPCC
105,2026-06-13,이메일,기타,최근 TCFD 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.,TCFD
106,2026-06-13,이메일,2차 협력사,최근 모바일에서도 Scope 2 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,Scope2
107,2026-06-13,채널톡,기타,"실무 담당자로서 말씀드리면, Scope 3 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.",Scope3
108,2026-06-14,채널톡,1차 협력사,글로벌 고객사에서 탄소국경조정 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,탄소국경조정
109,2026-06-15,이메일,기타,"IPCC 계산 로직을 신뢰하기 어렵습니다. 상세 계산 근거를 확인할 수 있는 기능을 추가해주시길 요청드리는데, 현재는 제한적입니다.","IPCC,기능개선요청"
110,2026-06-15,채널톡,기타,다시 문의드립니다. Scope 1와 다른 프레임워크 데이터의 중복 입력을 줄여주는 기능이 필요합니다.,Scope1
111,2026-06-15,이메일,2차 협력사,카본링크 사용 중 PCF 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,PCF
112,2026-06-15,이메일,기타,CSRD 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,CSRD
113,6월 15일,채널톡,기타,이번 주 GWP 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,GWP
114,2026-06-16,채널톡,기타,저희 팀에서 확인해보니 대시보드에 GWP 추세를 비교하는 차트 기능이 필요합니다.,GWP
115,2026-06-17,채널톡,기타,이번 주 Scope 3 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,Scope3
116,6월 18일,이메일,기타,카본링크 사용 중 GWP 감축 로드맵 수립을 지원해줄 수 있는 컨설팅 서비스가 있으면 좋겠습니다.,GWP
117,2026/06/19,이메일,기타,저희 팀에서 확인해보니 외부 컨설팅사에서 산정한 탄소국경조정 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.,탄소국경조정
118,2026-06-20,이메일,2차 협력사,다시 문의드립니다. IPCC 산정 가이드 문서를 만들어 주시면 좋겠습니다.,IPCC
119,2026/06/20,채널톡,OEM,탄소크레딧 감축 로드맵 수립을 지원해줄 수 있는 컨설팅 서비스가 있으면 좋겠습니다.,탄소크레딧
120,2026-06-20,이메일,OEM,"실무 담당자로서 말씀드리면, 작년 대비 Scope 1 집계 오류가 크게 줄었습니다. 플랫폼 품질이 확실히 올라갔습니다.",Scope1
121,6월 21일,채널톡,기타,다시 문의드립니다. ISO 14064 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.,ISO14064
122,2026/06/21,채널톡,OEM,카본링크 사용 중 탄소크레딧 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,탄소크레딧
123,2026-06-21,채널톡,기타,이번 주 ESG 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.,ESG
124,6월 21일,,기타,"실무 담당자로서 말씀드리면, 온실가스 산정 가이드 문서를 만들어 주시면 좋겠습니다.",온실가스
125,2026-06-21,미팅메모,OEM,다시 문의드립니다. 온실가스 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,온실가스
126,2026-06-22,이메일,1차 협력사,"협력사 담당자와 상의한 결과, 탄소내재량 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.",탄소내재량
127,2026-06-23,채널톡,기타,최근 온보딩 과정에서 TCFD 세팅을 친절하게 안내해주셔서 정말 만족스럽습니다.,TCFD
128,6월 24일,이메일,2차 협력사,저희 팀에서 확인해보니 온실가스 감축 로드맵 수립을 지원해줄 수 있는 컨설팅 서비스가 있으면 좋겠습니다.,온실가스
129,2026-06-24,이메일,기타,저희 팀에서 확인해보니 녹색채권 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,녹색채권
130,2026-06-25,채널톡,기타,카본링크 사용 중 모바일에서도 Scope 3 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,Scope3
131,2026-06-25,채널톡,기타,PCF 분석 리포트 덕분에 어디서 줄일 수 있는지 파악했습니다. 감사합니다.,PCF
132,2026/06/26,미팅메모,기타,이번 주 API 연동이 자꾸 끊깁니다. 탄소크레딧 데이터가 누락됩니다. 빨리 해결해주세요.,탄소크레딧
133,2026/06/26,이메일,기타,"협력사 담당자와 상의한 결과, ISO 14064 데이터를 입력했는데 저장이 안 됩니다. 벌써 5번째 같은 문제가 발생하고 있습니다.",ISO14064
134,2026-06-27,이메일,기타,다시 문의드립니다. API 연동이 자꾸 끊깁니다. 이중중요성 데이터가 누락됩니다. 빨리 해결해주세요.,이중중요성
135,2026-06-28,이메일,기타,저희 팀에서 확인해보니 이번 업데이트로 Scope 3 화면이 훨씬 편하게 바뀌어서 좋았습니다.,Scope3
136,6월 29일,채널톡,기타,이번 주 CBAM 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,CBAM
137,2026/06/30,채널톡,1차 협력사,"실무 담당자로서 말씀드리면, GWP 데이터를 입력했는데 저장이 안 됩니다. 벌써 5번째 같은 문제가 발생하고 있습니다.",GWP
138,2026-06-30,채널톡,1차 협력사,저희 팀에서 확인해보니 글로벌 고객사에서 녹색채권 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,녹색채권
139,2026-06-30,이메일,기타,다시 문의드립니다. 대시보드에 녹색채권 추세를 비교하는 차트 기능이 필요합니다.,녹색채권
140,2026-06-30,이메일,기타,이번 주 이중중요성 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,이중중요성
141,2026-06-30,채널톡,기타,저희 팀에서 확인해보니 ISO 14064 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,ISO14064
142,2026/06/30,이메일,2차 협력사,카본링크 사용 중 글로벌 고객사에서 탄소국경조정 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,탄소국경조정
143,2026-07-01,이메일,기타,카본링크 사용 중 GWP 산정 가이드 문서를 만들어 주시면 좋겠습니다.,GWP
144,2026/07/02,채널톡,기타,"협력사 담당자와 상의한 결과, API 연동이 자꾸 끊깁니다. CSRD 데이터가 누락됩니다. 빨리 해결해주세요.",CSRD
145,2026-07-02,채널톡,OEM,"실무 담당자로서 말씀드리면, 탄소크레딧 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.",탄소크레딧
146,2026-07-03,이메일,OEM,카본링크 사용 중 녹색채권 산정 가이드 문서를 만들어 주시면 좋겠습니다.,녹색채권
147,2026/07/03,채널톡,기타,저희 팀에서 확인해보니 탄소내재량 관련 데이터를 협력사로부터 받아야 하는데 표준 제출 양식이 있는지 궁금합니다.,탄소내재량
148,2026/07/03,이메일,2차 협력사,저희 팀에서 확인해보니 이번 업데이트로 SBTi 화면이 훨씬 편하게 바뀌어서 좋았습니다.,SBTi
149,2026-07-03,이메일,기타,이번 주 Scope 3와 다른 프레임워크 데이터의 중복 입력을 줄여주는 기능이 필요합니다.,Scope3
150,2026-07-04,채널톡,OEM,카본링크 사용 중 CSRD 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,CSRD
151,2026-07-04,이메일,1차 협력사,"실무 담당자로서 말씀드리면, IPCC 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.",IPCC
152,2026-07-04,채널톡,기타,이번 주 외부 컨설팅사에서 산정한 CSRD 값과 카본링크 결과가 차이가 납니다. 근거를 설명해주지 않아 해결해주세요.,CSRD
153,2026-07-05,이메일,2차 협력사,최근 CBAM 산정 가이드 문서를 만들어 주시면 좋겠습니다.,CBAM
154,2026-07-06,이메일,OEM,이번 주 이중중요성 보고서를 제출했는데 형식 오류로 반려됐습니다. 사전 검증 기능이 없어 시간이 낭비됐습니다.,이중중요성
155,2026-07-06,채널톡,1차 협력사,이번 주 글로벌 고객사에서 탄소내재량 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,탄소내재량
156,2026/07/06,채널톡,2차 협력사,이번 주 탄소내재량 관련 기능이 너무 제한적입니다. 실무에서 쓰기에 불편합니다.,탄소내재량
157,2026-07-06,이메일,기타,저희 팀에서 확인해보니 모바일에서도 SBTi 데이터를 확인할 수 있는 앱을 만들어 주시면 좋겠습니다.,SBTi
158,2026-07-07,채널톡,기타,저희 팀에서 확인해보니 탄소국경조정 보고서를 회사 양식에 맞게 쓸 수 있는 템플릿을 제공해주시면 좋겠습니다.,탄소국경조정
159,7월 7일,이메일,1차 협력사,최근 SBTi 관련 신고 기한이 정확히 언제인지 확인하고 싶습니다.,SBTi
160,2026-07-08,이메일,OEM,저희 팀에서 확인해보니 Scope 1 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,Scope1
161,2026-07-08,이메일,2차 협력사,EU ETS 감축 로드맵 수립을 지원해줄 수 있는 컨설팅 서비스가 있으면 좋겠습니다.,EUETS
162,2026-07-09,이메일,기타,최근 온실가스 데이터를 입력했는데 저장이 안 됩니다. 벌써 2번째 같은 문제가 발생하고 있습니다.,온실가스
163,2026-07-10,채널톡,기타,카본링크 사용 중 작년 대비 ESG 집계 오류가 크게 줄었습니다. 플랫폼 품질이 확실히 올라갔습니다.,ESG
164,2026-07-10,이메일,기타,카본링크 사용 중 Scope 1 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.,Scope1
165,2026/07/10,이메일,기타,카본링크 사용 중 대시보드에 CSRD 추세를 비교하는 차트 기능이 필요합니다.,CSRD
166,2026/07/11,이메일,기타,최근 TCFD 산정 방식이 이전과 달라진 것 같은데 어떤 기준이 바뀐 건지 궁금합니다.,TCFD
167,2026-07-12,이메일,2차 협력사,최근 SBTi 산정 가이드 문서를 만들어 주시면 좋겠습니다.,SBTi
168,2026/07/12,이메일,기타,카본링크 사용 중 CBAM 검증을 위한 제3자 인증 기관 목록을 알려주실 수 있나요?,CBAM
169,2026-07-12,채널톡,2차 협력사,작년 대비 EU ETS 집계 오류가 크게 줄었습니다. 플랫폼 품질이 확실히 올라갔습니다.,EUETS
170,7월 13일,채널톡,기타,"실무 담당자로서 말씀드리면, 이용 중 PCF 처리 속도가 너무 느려 불편합니다. 수정해주세요.",PCF
171,2026-07-13,채널톡,기타,글로벌 고객사에서 탄소크레딧 기준 목표 설정을 요구했는데 시나리오 분석이 가능한가요?,탄소크레딧
172,2026-07-13,채널톡,OEM,"실무 담당자로서 말씀드리면, TCFD 관련하여 공공기관과 민간기업에 적용되는 기준이 서로 다른지 궁금합니다.",TCFD
173,2026-07-14,미팅메모,1차 협력사,다시 문의드립니다. 작년 대비 LCA 집계 오류가 크게 줄었습니다. 플랫폼 품질이 확실히 올라갔습니다.,LCA
